Placa;Quantidade;Valor (R$);Valor com Desconto (R$);Situação
PRN9315;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RBX2C52;0;0,00;0.00;Vencidas
RBX2C52;1;130,16;104,13;Não Vencida
RBX2C52;0;0,00;0.00;Sob Judice
RBX2C52;0;0,00;0.00;Parcelada
RBX2C52;0;0,00;0,00;Notificada
RBX2C52;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RCE1I27;0;0,00;0.00;Vencidas
RCE1I27;0;0,00;0,00;Não Vencida
RCE1I27;0;0,00;0.00;Sob Judice
RCE1I27;0;0,00;0.00;Parcelada
RCE1I27;2;176,76;141,40;Notificada
RCE1I27;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RBM4068;0;0,00;0.00;Vencidas
RBM4068;0;0,00;0,00;Não Vencida
RBM4068;0;0,00;0.00;Sob Judice
RBM4068;0;0,00;0.00;Parcelada
RBM4068;1;130,16;104,13;Notificada
RBM4068;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
QTR7147;0;0,00;0.00;Vencidas
QTR7147;0;0,00;0,00;Não Vencida
QTR7147;0;0,00;0.00;Sob Judice
QTR7147;0;0,00;0.00;Parcelada
QTR7147;9;1.236,51;989,22;Notificada
QTR7147;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
